(1 4) 100 250 500 | 5 10 30
(1 14) 150 375 750 | 10 20 50
(7 18) 300 500 1000 | 20 50 100
(14 18) 450 875 1750 | 50 100 250
(18 13) 750 1375 2750 | 100 250 500
(18 6) 1200 2500 5000 | 250 500 750
(14 1) 2000 4500 7500 | 500 750 1000
(6 1) 5000 7500 10000 | 1000 2500 3000
(1 12) 100 250 500 | 5 10 30
(4 18) 150 375 750 | 10 20 50
(18 18) 300 500 1000 | 20 50 100
(18 4) 450 875 1750 | 50 100 250
(15 1) 750 1375 2750 | 100 250 500
(9 1) 1200 2500 5000 | 250 500 750
(2 0) 2000 4500 7500 | 500 750 1000
(0 2) 5000 7500 10000 | 1000 2500 3000
